Customer_id,Age,Gender,Annual_income_k$,Spending_score,Customer_Status
C0001,58,Female,71,38.5,Regular
C0002,25,Female,139,86,Loyal
C0003,19,Male,71,37.6,Regular
C0004,65,Male,84,63,Regular
C0005,35,Male,126,74.3,Loyal
C0006,33,Female,139,65.3,Regular
C0007,32,Female,22,15.5,At Risk
C0008,26,Male,114,69.8,Regular
C0009,65,Male,101,53,Regular
C0010,24,Male,118,53.7,Regular
C0011,61,Male,57,54.2,Regular
C0012,65,Female,134,80.6,Loyal
C0013,52,Male,47,31.7,Regular
C0014,23,Female,21,16.2,At Risk
C0015,55,Male,115,72.8,Loyal
C0016,45,Female,21,24.8,At Risk
C0017,20,Female,36,47.1,Regular
C0018,19,Male,124,74.3,Loyal
C0019,23,Male,49,33.6,Regular
C0020,31,Female,133,87.3,Loyal
C0021,32,Male,61,64,Regular
C0022,50,Male,27,15.5,At Risk
C0023,56,Male,81,47.7,Regular
C0024,19,Male,112,64.4,Regular
C0025,53,Male,98,70.2,Loyal
C0026,30,Male,69,48.9,Regular
C0027,63,Female,131,78.7,Loyal
C0028,59,Female,98,66.1,Regular
C0029,62,Female,101,42.8,Regular
C0030,52,Male,112,70.8,Loyal
C0031,44,Female,86,47.8,Regular
C0032,32,Male,122,86.6,Loyal
C0033,46,Male,79,48.1,Regular
C0034,55,Female,35,40.3,Regular
C0035,35,Male,135,64.8,Regular
C0036,69,Female,19,8.8,At Risk
C0037,18,Female,28,39.3,Regular
C0038,66,Female,104,71.8,Loyal
C0039,69,Female,72,37.7,Regular
C0040,28,Female,32,20.3,At Risk
C0041,62,Female,25,22.9,At Risk
C0042,45,Male,22,19.1,At Risk
C0043,39,Male,78,51.6,Regular
C0044,35,Female,66,47.6,Regular
C0045,27,Male,20,28.1,At Risk
C0046,31,Male,54,35.2,Regular
C0047,66,Male,76,28.1,At Risk
C0048,39,Female,47,45,Regular
C0049,24,Male,136,80.1,Loyal
C0050,23,Male,44,30,Regular
C0051,42,Female,70,56.4,Regular
C0052,24,Male,134,58.1,Regular
C0053,40,Male,80,59.8,Regular
C0054,40,Male,109,69.8,Regular
C0055,56,Male,57,48.5,Regular
C0056,34,Male,44,32.8,Regular
C0057,69,Male,56,38.2,Regular
C0058,20,Male,94,74.4,Loyal
C0059,64,Female,42,46.8,Regular
C0060,47,Male,21,24.1,At Risk
C0061,52,Male,94,33.5,Regular
C0062,25,Male,111,67,Regular
C0063,42,Male,116,67.4,Regular
C0064,23,Female,65,63.9,Regular
C0065,53,Female,34,42.7,Regular
C0066,36,Female,77,47.6,Regular
C0067,58,Male,41,30,Regular
C0068,57,Female,92,48,Regular
C0069,41,Male,45,44.6,Regular
C0070,54,Female,25,20.2,At Risk
C0071,30,Female,103,68.4,Regular
C0072,63,Male,124,46.9,Regular
C0073,22,Female,109,65.8,Regular
C0074,20,Female,32,55.6,Regular
C0075,60,Female,144,63.1,Regular
C0076,32,Male,102,68.9,Regular
C0077,67,Male,18,23.1,At Risk
C0078,36,Female,122,82.1,Loyal
C0079,23,Male,140,93.2,Loyal
C0080,32,Male,42,51.6,Regular
C0081,24,Male,125,68,Regular
C0082,42,Female,107,52.9,Regular
C0083,35,Male,132,81,Loyal
C0084,47,Female,54,47.9,Regular
C0085,58,Male,126,77.9,Loyal
C0086,41,Male,60,23.1,At Risk
C0087,28,Female,148,63.5,Regular
C0088,41,Female,84,56.5,Regular
C0089,40,Male,138,90,Loyal
C0090,31,Female,134,94.2,Loyal
C0091,60,Female,126,72.3,Loyal
C0092,35,Male,83,50.1,Regular
C0093,62,Female,97,34.1,Regular
C0094,61,Male,77,47.8,Regular
C0095,59,Male,37,42,Regular
C0096,22,Female,86,55.5,Regular
C0097,56,Male,130,73,Loyal
C0098,58,Male,77,59.5,Regular
C0099,28,Male,133,56.6,Regular
C0100,52,Female,112,71,Loyal
C0101,64,Female,101,42.9,Regular
C0102,33,Male,22,23.9,At Risk
C0103,28,Female,141,63.8,Regular
C0104,47,Male,98,56.3,Regular
C0105,42,Female,61,44.4,Regular
C0106,35,Female,139,86.8,Loyal
C0107,58,Female,69,27,At Risk
C0108,62,Male,105,36.6,Regular
C0109,53,Male,81,61.3,Regular
C0110,32,Female,102,66,Regular
C0111,61,Female,86,35.7,Regular
C0112,38,Male,85,69.1,Regular
C0113,67,Male,17,2.4,At Risk
C0114,67,Female,147,67.1,Regular
C0115,21,Male,63,39.1,Regular
C0116,32,Female,36,25,At Risk
C0117,70,Male,76,19.8,At Risk
C0118,20,Female,119,83.8,Loyal
C0119,69,Female,140,81.3,Loyal
C0120,38,Male,76,56.1,Regular
C0121,43,Male,136,57.8,Regular
C0122,35,Male,140,73.2,Loyal
C0123,22,Male,129,68.8,Regular
C0124,31,Male,19,31.8,Regular
C0125,54,Female,38,34.6,Regular
C0126,63,Male,90,44.1,Regular
C0127,38,Female,71,37,Regular
C0128,31,Male,118,81.7,Loyal
C0129,59,Male,77,31.1,Regular
